company_id,paper_id,symbol,paper_type_he,identifier_status,identifier_reason,identifier_api,identifier_success,logo_exists,logo_status,logo_reason,logo_api,logo_success
20385542,1080456,RIMO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385542/logos,1
13412516,103010,TTAM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/13412516/logos,1
20383740,106013,CNGL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20383740/logos,1
569925584,111013,YBRD,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
1432133,1210152,KRDI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1432133/logos,1
883564,127019,MISH,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/883564/logos,1
20384567,130013,ZNKL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20384567/logos,1
2529420,136010,LAHAV,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2529420/logos,1
4050219,156018,MLTM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/4050219/logos,1
20357591,161018,ONE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20357591/logos,1
6463876,168013,NTO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/6463876/logos,1
1938298476,169011,SOLT,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
3433862,174011,INTR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3433862/logos,1
2702416,175018,IBI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2702416/logos,1
20387448,180018,ANGL,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
1972066,142018,TEDE,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20385206,149013,GOLD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385206/logos,1
20344616,150011,HRON,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
1067778,126011,GCT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1067778/logos,1
20332656,1820083,ADGR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20332656/logos,1
307548170,199018,FRSX,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/307548170/logos,1
20385447,200014,LEOF,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
935881,208017,NAWI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/935881/logos,1
5533523,209015,AYAL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5533523/logos,1
8668442,216010,TECT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/8668442/logos,1
883047,224014,CLIS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/883047/logos,1
665876,226019,MVNE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/665876/logos,1
880128,230011,BEZQ,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/880128/logos,1
612613082,249011,SEMG,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/612613082/logos,1
386267,256016,FORTY,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/386267/logos,1
44439911,257014,MRHL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/44439911/logos,1
9962785,258012,TDRN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/9962785/logos,1
2862940,2590248,ORL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2862940/logos,1
407594,266015,ROBO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/407594/logos,1
32181,273011,NICE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/32181/logos,1
12422201,278010,WILK,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/12422201/logos,1
5440246,280016,CAST,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5440246/logos,1
882761,281014,ICL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882761/logos,1
4481661,288019,SCOP,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/4481661/logos,1
N/A,290023,TUZA,מניה,FAILED,HTTP 404,,0,no,,,,
20343041,297010,AVRT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20343041/logos,1
3368540,299016,RSEL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3368540/logos,1
N/A,1233014,SUGT,מניה,FAILED,HTTP 404,,0,no,,,,
5926945,312017,ASHO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5926945/logos,1
1787564,313015,ASGR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1787564/logos,1
5754441,314013,DANE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5754441/logos,1
11168741,315010,FBRT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/11168741/logos,1
20407902,235010,GOHO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20407902/logos,1
20385213,282012,IMCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385213/logos,1
883168,286013,BRAN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/883168/logos,1
12517466,323014,MLSR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/12517466/logos,1
2567642,328013,PRTC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2567642/logos,1
47585861,333013,PEN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/47585861/logos,1
946236,338012,CMER,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/946236/logos,1
20332940,341016,SADE,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20387465,350017,VISN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20387465/logos,1
5704007,351015,HOD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5704007/logos,1
7913066,354019,TLSY,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/7913066/logos,1
650034812,363010,ARDM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/650034812/logos,1
20875964,366013,ARIN,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
430454,368019,ELWS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/430454/logos,1
20385706,371013,WLFD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385706/logos,1
546819,373019,AURA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/546819/logos,1
9898999,384016,HAMAT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/9898999/logos,1
34869374,386011,QNCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/34869374/logos,1
20332957,387019,ALRPR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20332957/logos,1
105785,382010,EMCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/105785/logos,1
20360061,383018,AILN,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
