Processing Log - Started at 2026-01-11T01:59:10.682Z
Total documents to process: 25049
Batch size: 100
Delay between batches: 300ms


=== Batch 179/251 - Started at 2026-01-11T01:59:10.683Z ===
FAILED: paper_id: 70142923, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70142677, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70142611, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70146544, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70145545, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70144002, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70140613, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70281217, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70273915, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70268734, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70268396, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70267752, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70256514, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70256497, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70253497, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70247523, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70245840, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70232627, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70241575, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70238100, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70237227, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70232020, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70230354, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70230208, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70222989, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70225840, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70224360, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70222302, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70222030, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70218037, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70215793, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70214788, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70209527, reason: Request failed with status code 404, status: 404
