status,company_id,paper_id,symbol,reason,api,paper_type_he,success
SKIPPED,20385542,1080456,RIMO,already exists,,מניה,1
SKIPPED,13412516,103010,TTAM,already exists,,מניה,1
SKIPPED,20383740,106013,CNGL,already exists,,מניה,1
SKIPPED,569925584,111013,YBRD,already exists,,מניה,1
SKIPPED,1432133,1210152,KRDI,already exists,,מניה,1
SKIPPED,883564,127019,MISH,already exists,,מניה,1
SKIPPED,20384567,130013,ZNKL,already exists,,מניה,1
SKIPPED,2529420,136010,LAHAV,already exists,,מניה,1
SKIPPED,4050219,156018,MLTM,already exists,,מניה,1
SKIPPED,20357591,161018,ONE,already exists,,מניה,1
SKIPPED,6463876,168013,NTO,already exists,,מניה,1
SKIPPED,1938298476,169011,SOLT,already exists,,מניה,1
SKIPPED,3433862,174011,INTR,already exists,,מניה,1
SKIPPED,2702416,175018,IBI,already exists,,מניה,1
SKIPPED,20387448,180018,ANGL,already exists,,מניה,1
SKIPPED,1972066,142018,TEDE,already exists,,מניה,1
SKIPPED,20385206,149013,GOLD,already exists,,מניה,1
SKIPPED,20344616,150011,HRON,already exists,,מניה,1
SKIPPED,1067778,126011,GCT,already exists,,מניה,1
SKIPPED,20332656,1820083,ADGR,already exists,,מניה,1
SKIPPED,307548170,199018,FRSX,already exists,,מניה,1
SKIPPED,20385447,200014,LEOF,already exists,,מניה,1
SKIPPED,935881,208017,NAWI,already exists,,מניה,1
SKIPPED,5533523,209015,AYAL,already exists,,מניה,1
SKIPPED,8668442,216010,TECT,already exists,,מניה,1
SKIPPED,883047,224014,CLIS,already exists,,מניה,1
SKIPPED,665876,226019,MVNE,already exists,,מניה,1
SKIPPED,880128,230011,BEZQ,already exists,,מניה,1
SKIPPED,612613082,249011,SEMG,already exists,,מניה,1
SKIPPED,386267,256016,FORTY,already exists,,מניה,1
SKIPPED,44439911,257014,MRHL,already exists,,מניה,1
SKIPPED,9962785,258012,TDRN,already exists,,מניה,1
SKIPPED,2862940,2590248,ORL,already exists,,מניה,1
SKIPPED,407594,266015,ROBO,already exists,,מניה,1
SKIPPED,32181,273011,NICE,already exists,,מניה,1
SKIPPED,12422201,278010,WILK,already exists,,מניה,1
SKIPPED,5440246,280016,CAST,already exists,,מניה,1
SKIPPED,882761,281014,ICL,already exists,,מניה,1
SKIPPED,4481661,288019,SCOP,already exists,,מניה,1
FAILED,N/A,290023,TUZA,HTTP 404,,מניה,0
SKIPPED,20343041,297010,AVRT,already exists,,מניה,1
SKIPPED,3368540,299016,RSEL,already exists,,מניה,1
FAILED,N/A,1233014,SUGT,HTTP 404,,מניה,0
SKIPPED,5926945,312017,ASHO,already exists,,מניה,1
SKIPPED,1787564,313015,ASGR,already exists,,מניה,1
SKIPPED,5754441,314013,DANE,already exists,,מניה,1
SKIPPED,11168741,315010,FBRT,already exists,,מניה,1
SKIPPED,20407902,235010,GOHO,already exists,,מניה,1
SKIPPED,20385213,282012,IMCO,already exists,,מניה,1
SKIPPED,883168,286013,BRAN,already exists,,מניה,1
SKIPPED,12517466,323014,MLSR,already exists,,מניה,1
SKIPPED,2567642,328013,PRTC,already exists,,מניה,1
SKIPPED,47585861,333013,PEN,already exists,,מניה,1
SKIPPED,946236,338012,CMER,already exists,,מניה,1
SKIPPED,20332940,341016,SADE,already exists,,מניה,1
SKIPPED,20387465,350017,VISN,already exists,,מניה,1
SKIPPED,5704007,351015,HOD,already exists,,מניה,1
SKIPPED,7913066,354019,TLSY,already exists,,מניה,1
SKIPPED,650034812,363010,ARDM,already exists,,מניה,1
SKIPPED,20875964,366013,ARIN,already exists,,מניה,1
SKIPPED,430454,368019,ELWS,already exists,,מניה,1
SKIPPED,20385706,371013,WLFD,already exists,,מניה,1
SKIPPED,546819,373019,AURA,already exists,,מניה,1
SKIPPED,9898999,384016,HAMAT,already exists,,מניה,1
SKIPPED,34869374,386011,QNCO,already exists,,מניה,1
SKIPPED,20332957,387019,ALRPR,already exists,,מניה,1
SKIPPED,105785,382010,EMCO,already exists,,מניה,1
SKIPPED,20360061,383018,AILN,already exists,,מניה,1
SKIPPED,1519862,390013,ALHE,already exists,,מניה,1
SKIPPED,13714138,412015,PAYT,already exists,,מניה,1
SKIPPED,5717961,413013,AVIA,already exists,,מניה,1
SKIPPED,20378609,416016,VILR,already exists,,מניה,1
SKIPPED,20385437,397018,THES,already exists,,מניה,1
SKIPPED,20333909,399014,BRIL,already exists,,מניה,1
SKIPPED,20385114,400010,DUNI,already exists,,מניה,1
SKIPPED,20385395,421016,NTGR,already exists,,מניה,1
SKIPPED,1661557,422014,SRAC,already exists,,מניה,1
SKIPPED,595603354,424010,BLITZ-M,already exists,,מניה,1
SKIPPED,20387434,425017,SRFT,already exists,,מניה,1
SKIPPED,3132632,431015,IES,already exists,,מניה,1
SKIPPED,632064059,433011,NXTG-M,already exists,,מניה,1
SKIPPED,953566,434019,ISCN,already exists,,מניה,1
SKIPPED,3597413,440016,CRMT,already exists,,מניה,1
SKIPPED,3147799,442012,CISY,already exists,,מניה,1
SKIPPED,20333319,444018,AVIV,already exists,,מניה,1
SKIPPED,20385497,393017,RLCO,already exists,,מניה,1
SKIPPED,385636,445015,MTRX,already exists,,מניה,1
FAILED,N/A,448019,GIBUI,HTTP 404,,מניה,0
SKIPPED,880261,454017,GAGR,already exists,,מניה,1
SKIPPED,302928426,456012,UPSL,already exists,,מניה,1
SKIPPED,54033193,462010,TGTR,already exists,,מניה,1
SKIPPED,20631790,473017,LUZN,already exists,,מניה,1
SKIPPED,137651185,485011,BONS,already exists,,מניה,1
SKIPPED,427952,486027,YBOX,already exists,,מניה,1
SKIPPED,20343467,494013,MIA,already exists,,מניה,1
SKIPPED,1076825,5010129,ECP,already exists,,מניה,1
SKIPPED,20383609,507012,CMDR,already exists,,מניה,1
SKIPPED,20346310,522011,KAFR,already exists,,מניה,1
SKIPPED,20358767,526012,RAVD,already exists,,מניה,1
SKIPPED,20384917,530014,BIRM,already exists,,מניה,1
SKIPPED,20386796,531012,BOTI,already exists,,מניה,1
SKIPPED,5746645,532010,GSFI,already exists,,מניה,1
SKIPPED,20384912,536011,BRND,already exists,,מניה,1
SKIPPED,20358958,539015,ROTS,already exists,,מניה,1
SKIPPED,6465740,543017,KNFM,already exists,,מניה,1
SKIPPED,20387228,544015,MYDS,already exists,,מניה,1
SKIPPED,8840575,550012,STG,already exists,,מניה,1
SKIPPED,883901,566018,MMHD,already exists,,מניה,1
SKIPPED,882784,576017,ILCO,already exists,,מניה,1
SKIPPED,20385337,573014,LEVI,already exists,,מניה,1
SKIPPED,869300,587014,ARYT,already exists,,מניה,1
SKIPPED,33738792,589010,EMDV,already exists,,מניה,1
SKIPPED,882238,593038,FIBI,already exists,,מניה,1
SKIPPED,3536667,578013,AFHL,already exists,,מניה,1
SKIPPED,20385303,584011,LBTL,already exists,,מניה,1
SKIPPED,2482281,585018,HARL,already exists,,מניה,1
SKIPPED,407787,612010,ILDC,already exists,,מניה,1
SKIPPED,879082,613034,ISRS,already exists,,מניה,1
SKIPPED,4492970,621011,KRUR,already exists,,מניה,1
SKIPPED,2903619,625012,ALBA,already exists,,מניה,1
SKIPPED,398806,627034,DELG,already exists,,מניה,1
SKIPPED,308047,629014,TEVA,already exists,,מניה,1
SKIPPED,5723064,634030,SMNR,already exists,,מניה,1
SKIPPED,595807,639013,DISI,already exists,,מניה,1
SKIPPED,20353773,642017,LAPD,already exists,,מניה,1
SKIPPED,9476883,643015,NFTA,already exists,,מניה,1
SKIPPED,6479571,644013,PLRM,already exists,,מניה,1
SKIPPED,748577,654012,AMAN,already exists,,מניה,1
SKIPPED,8442797,660019,NISA,already exists,,מניה,1
SKIPPED,874109,662577,POLI,already exists,,מניה,1
SKIPPED,699650191,666016,LUZC,already exists,,מניה,1
SKIPPED,1896697702,673012,RAYG-M,already exists,,מניה,1
SKIPPED,20384794,675017,AVER,already exists,,מניה,1
SKIPPED,882653,686014,MEDN,already exists,,מניה,1
SKIPPED,882843,694034,ELCO,already exists,,מניה,1
SKIPPED,874625,695437,MZTF,already exists,,מניה,1
SKIPPED,882870,699017,PTBL,already exists,,מניה,1
SKIPPED,873701,691212,DSCT,already exists,,מניה,1
SKIPPED,5773940,704015,EXPO,already exists,,מניה,1
SKIPPED,883173,715011,AZRM,already exists,,מניה,1
SKIPPED,20344776,716019,CTPL1,already exists,,מניה,1
SKIPPED,20344776,716035,CTPL5,already exists,,מניה,1
SKIPPED,20359014,720011,ENLT,already exists,,מניה,1
FAILED,N/A,723007,NSTR,HTTP 404,,מניה,0
SKIPPED,5604059,730010,ZUR,already exists,,מניה,1
SKIPPED,5554389,731018,MLTH,already exists,,מניה,1
SKIPPED,1076846,739037,ELTR,already exists,,מניה,1
SKIPPED,2909271,744011,GIX,already exists,,מניה,1
SKIPPED,20385481,745018,POLY,already exists,,מניה,1
SKIPPED,876816,746016,STRS,already exists,,מניה,1
SKIPPED,20345807,726018,JBNK,already exists,,מניה,1
SKIPPED,5851315,727016,PLCR,already exists,,מניה,1
FAILED,N/A,749077,ELRN,HTTP 404,,מניה,0
SKIPPED,12647998,753012,LODZ,already exists,,מניה,1
SKIPPED,20342936,755017,EQTL,already exists,,מניה,1
SKIPPED,882755,756015,PTCH,already exists,,מניה,1
SKIPPED,5435227,759019,GVYM,already exists,,מניה,1
SKIPPED,2919834,763011,FIBIH,already exists,,מניה,1
SKIPPED,20357677,765016,PPBT,already exists,,מניה,1
SKIPPED,874863,767012,PHOE,already exists,,מניה,1
SKIPPED,12648533,796011,TAYA,already exists,,מניה,1
SKIPPED,618620,797035,KLIL,already exists,,מניה,1
SKIPPED,20384959,810010,CDEV,already exists,,מניה,1
SKIPPED,3433523,813014,SANO1,already exists,,מניה,1
SKIPPED,882876,822015,DANH,already exists,,מניה,1
SKIPPED,20413179,823013,HGG,already exists,,מניה,1
SKIPPED,383522,777037,SAE,already exists,,מניה,1
SKIPPED,739810,769026,RPAC,already exists,,מניה,1
SKIPPED,5839351,770016,ACCL,already exists,,מניה,1
SKIPPED,20385277,826016,LHIS,already exists,,מניה,1
SKIPPED,895476,829010,DLEA,already exists,,מניה,1
SKIPPED,9450317,1080613,ANLT,already exists,,מניה,1
SKIPPED,20345025,1080753,ILX,already exists,,מניה,1
SKIPPED,20412319,1080837,SHAN,already exists,,מניה,1
SKIPPED,20356658,1080928,ININ,already exists,,מניה,1
SKIPPED,881970,1080985,ISRO,already exists,,מניה,1
SKIPPED,13010819,1081009,REKA,already exists,,מניה,1
SKIPPED,4664053,1081074,ISTA,already exists,,מניה,1
SKIPPED,20385165,1080522,AUIS,already exists,,מניה,1
SKIPPED,20385563,1080597,GLTL,already exists,,מניה,1
SKIPPED,517056,1081116,EMITF,already exists,,מניה,1
SKIPPED,882957,1081165,MGDL,already exists,,מניה,1
SKIPPED,725175,1081439,LUDN,already exists,,מניה,1
SKIPPED,20384840,1081561,BSEN,already exists,,מניה,1
SKIPPED,879067,1081603,PLSN,already exists,,מניה,1
SKIPPED,20375467,1081686,SMT,already exists,,מניה,1
SKIPPED,645738,1081124,ESLT,already exists,,מניה,1
SKIPPED,30964860,1098755,SNFL,already exists,,מניה,1
SKIPPED,20386773,1081843,MTAV,already exists,,מניה,1
SKIPPED,883941,1081942,SKBN,already exists,,מניה,1
SKIPPED,269723575,1081983,GPAY-M,already exists,,מניה,1
SKIPPED,532516,1082007,SHOM,already exists,,מניה,1
SKIPPED,23750981,1093202,DRAL,already exists,,מניה,1
SKIPPED,528464124,1082114,APLP,already exists,,מניה,1
SKIPPED,20385623,1083377,TOPG,already exists,,מניה,1
SKIPPED,645938,1083419,AGRD,already exists,,מניה,1
SKIPPED,32624038,1118447,KARE,already exists,,מניה,1
SKIPPED,239307399,1083856,ALAR,already exists,,מניה,1
SKIPPED,29516484,1083930,NXGN-M,already exists,,מניה,1
SKIPPED,20358609,1083955,QLTU,already exists,,מניה,1
SKIPPED,819242,1084128,DLEKG,already exists,,מניה,1
SKIPPED,5551589,1173137,DNYA,already exists,,מניה,1
SKIPPED,419951036,1084367,TKUN,already exists,,מניה,1
SKIPPED,20358411,1084482,IBIU,already exists,,מניה,1
SKIPPED,1734261,1084698,HLAN,already exists,,מניה,1
SKIPPED,20385627,1084953,SNEL,already exists,,מניה,1
SKIPPED,20333101,1085265,ARAN,already exists,,מניה,1
SKIPPED,3449495,1086230,ORTC,already exists,,מניה,1
SKIPPED,5426045,1087022,FOX,already exists,,מניה,1
SKIPPED,20342789,1087824,ELAL,already exists,,מניה,1
SKIPPED,13153838,1091354,AFPR,already exists,,מניה,1
SKIPPED,5448991,1092345,SCC,already exists,,מניה,1
FAILED,N/A,1087949,KRNV-M,HTTP 404,,מניה,0
SKIPPED,20357037,1090117,SPNTC,already exists,,מניה,1
SKIPPED,953543,1090141,TGI,already exists,,מניה,1
SKIPPED,20413148,1090315,DIMRI,already exists,,מניה,1
SKIPPED,20342874,1090364,ELSPC,already exists,,מניה,1
SKIPPED,20358428,1090943,RMN,already exists,,מניה,1
SKIPPED,20356600,1091065,MTRN,already exists,,מניה,1
SKIPPED,23064767,1091651,ARD,already exists,,מניה,1
SKIPPED,2567648,1091685,PCBT,already exists,,מניה,1
SKIPPED,22126576,1091933,GRIN,already exists,,מניה,1
SKIPPED,23735014,1092204,AMRK,already exists,,מניה,1
SKIPPED,5711919,1187194,ISRG,already exists,,מניה,1
SKIPPED,23751069,1092840,PPIL,already exists,,מניה,1
SKIPPED,30414235,1129444,MNIN,already exists,,מניה,1
SKIPPED,9002466,1094119,KMDA,already exists,,מניה,1
SKIPPED,24949781,1094283,BRMG,already exists,,מניה,1
SKIPPED,676937,1094473,CANF,already exists,,מניה,1
SKIPPED,24949776,1094515,BRAM,already exists,,מניה,1
SKIPPED,326320634,1094986,OPAL,already exists,,מניה,1
SKIPPED,20464086,1097229,TMIS,already exists,,מניה,1
SKIPPED,25451828,1095223,BOLT,already exists,,מניה,1
SKIPPED,25451671,1095405,HDST-M,already exists,,מניה,1
SKIPPED,25815725,1095785,NXTM,already exists,,מניה,1
SKIPPED,25227179,1095835,ARPT,already exists,,מניה,1
SKIPPED,24364468,1095892,GNGR,already exists,,מניה,1
SKIPPED,941296,1096007,CNZN-M,already exists,,מניה,1
SKIPPED,1577244,1096049,BIOV,already exists,,מניה,1
SKIPPED,30369896,1096106,ATRY,already exists,,מניה,1
SKIPPED,32318806,1096148,GOLF,already exists,,מניה,1
SKIPPED,593938470,1096890,BLWV-M,already exists,,מניה,1
SKIPPED,8809768,1097054,SLCL-M,already exists,,מניה,1
SKIPPED,27848304,1097146,CPTP,already exists,,מניה,1
SKIPPED,30537526,1097260,BIG,already exists,,מניה,1
SKIPPED,23587718,1094044,ELCRE,already exists,,מניה,1
SKIPPED,23378719,1097278,AMOT,already exists,,מניה,1
SKIPPED,30469503,1097344,SPRG,already exists,,מניה,1
SKIPPED,42410883,1102128,PRSK,already exists,,מניה,1
SKIPPED,1896687899,1104363,BARI,already exists,,מניה,1
SKIPPED,31211925,1098565,BLSR,already exists,,מניה,1
SKIPPED,33226333,1102532,CILO,already exists,,מניה,1
